YEAR,GDP
1990,8824447.74
1962,9122751.453
1991,9365165.914
1993,9630762.954
1992,9742949.471
1963,10840095.13
1994,10886825.56
1995,11025945.14
1961,11592024.36
1960,12012025.25
1996,12334846.23
1960,12366563.61
1961,12483229.31
1962,12541562.15
1962,12642026.57
1997,12700905.45
1964,12712471.4
1998,12757632.87
1963,12833226.39
1960,13066557.78
2001,13196544.95
1964,13416554.86
1965,13593932.32
1999,13687141.11
1963,13708219.1
2000,13742057.05
1963,13923029.26
1961,13999883.33
1970,14295279.54
1966,14469078.18
1962,14524878.96
1968,14600000
1964,14758210.35
1965,15108207.43
1971,15278632.48
1968,15350000
1964,15393032.35
2002,15450994.24
1965,15603032.8
1967,15835177.93
1969,15850000
1968,16074027.35
1966,16099865.83
1970,16300000
1966,16443034.56
1969,16452027.99
1967,16632032.81
1969,16650000
1967,16742338.25
2003,18231078.54
1970,18432031.36
1970,18450000
1972,18936526.95
1971,19624746.45
1971,20051648.18
2007,20432742.11
2004,21534931.61
2005,21839098.89
1971,21965951.72
2006,22902861.45
1972,22944849.12
1973,24196018.38
1960,24200000
1967,25203524.03
1961,25700000
2007,27030374.03
2009,27101076.28
1972,27585488.99
1960,28071888.56
1968,28084252.76
1969,28606411.4
1961,29964370.71
1976,30036416.96
1976,30095602.29
1973,30165373.62
2008,30290219.76
1960,30412308.99
1972,30645121.01
1981,31020000
1974,31514856.31
1973,31710657.73
2010,31823518.62
1962,31856922.86
1986,32085561.5
1985,32125148.4
1975,32506741.72
2015,32673277.74
1976,32792480.97
1961,32902336.64
1974,32924215.86
1975,33237164.72
1975,33364055.3
1987,33608738.27
1963,33749405.01
1977,34139387.89
2016,34218878.44
1960,34579308.41
1982,34918000
1960,35076158.48
1962,35643207.63
1961,35699286.01
1964,36193826.12
1977,36370370.37
1981,36731422.85
1973,36896278.22
1962,36900000
2014,37259689.92
1983,37837837.84
1963,38091150.57
2013,38322359.53
1980,38715554.54
1977,38748059.44
2011,39312016.5
2008,39333572.32
1990,39809538.68
2012,39875750.67
1965,40069930.07
1982,40572066.13
1972,40606712.05
1976,41109617.5
1989,41119721.65
1968,41160658.57
1984,41246160.6
1981,41369800.05
1963,41400000
1978,41567471.67
1964,41613969.05
1983,41749000
1962,41859162.82
1980,42463576.16
1979,42620165.44
1988,42972107.2
1961,43025199.5
1974,43134498.69
1985,43879000
1966,44212353.7
2009,44290951.93
1982,44294647.73
1979,44296296.3
1966,44405594.41
1983,44442456.95
1979,44667002.01
1977,44680000
1981,44781456.95
1968,44910179.64
1984,45144000
1969,45168722.7
1978,45170370.37
1978,45210026.32
1965,45790869.75
1962,45927061.46
1967,46695363.16
1993,46919624.64
1963,47039059.22
1969,47305389.22
1967,47379310.34
1991,47515189.28
1992,47737955.35
1975,47803145.96
1982,47935843.79
1978,49095407.41
2010,49248810.57
1976,49278979.55
1977,49353148.15
1971,50056882.82
1984,50320914.41
1980,50642880.77
1966,51464435.15
1964,51938961.22
1970,52296836.75
1970,53233532.93
1980,53260077.43
1964,53800000
1963,54128377.43
1994,54832577.86
1965,54878902.42
1975,55081816.99
1973,55272108.84
1971,55728608.97
1986,55989000
1995,56338028.17
1966,56698866.02
1983,57829787.23
1979,58296666.67
1967,58646443.51
1980,59100000
1972,59161545
1971,59207317.07
1967,59260814.78
1985,60058663.31
1978,60844777.78
1983,60863963.96
1968,61444771.1
1982,62068161.07
1985,62118564.85
1981,62242013.33
1987,62983000
2001,63101272.37
1965,63287594.51
1984,64248354.54
1977,64526398.66
1965,64748333.33
1971,64946954.76
1964,64979280.41
1998,65334841.06
1972,65429198.24
1969,65966680.67
1972,66062500
1981,66218518.52
1968,66248256.62
1970,66331428.57
1965,66500000
1996,66515376.79
1969,67225714.29
2000,67254174.4
1968,67514285.71
1997,67537479.59
1980,67715444.44
1966,67768132.18
1986,68195855.61
1970,68738625.23
1999,69032258.06
1966,69110000
1970,69520026.67
1965,70278594.43
1988,70688000
1979,71096370.37
1977,71494481.48
1982,72051851.85
2002,72196457.68
2001,72230284.43
1967,72317446.93
2011,72751801.05
1989,72798000
1975,74617096.48
1967,74758504.83
1973,75187969.92
1993,75907000
1986,76407396.76
1971,76482102.91
1966,76858462.83
1990,76888000
1969,77356914.08
1977,77496740.74
1973,78343558.28
1990,78476000
1971,78540057.14
1970,78619206.09
1970,78733594.84
1981,79026037.04
1968,79798404.03
